Time,Roller Count,Barcode,AC_X,AC_Y,AC_Z,GY_X,GY_Y,GY_Z,Pressure,Thermal,Trash
50:20.8,4,,0.04296875,-0.01953125,1.025390625,-0.854492188,0.122070313,-1.403808594,101421,,
50:20.9,4,,0.040039063,0.01171875,0.908203125,-0.061035156,0.48828125,-0.793457031,101421,,
50:21.1,4,,0.021484375,-0.01171875,0.9765625,-2.44140625,0.671386719,-1.342773438,101421,,
50:21.2,4,,0.028320313,-0.006835938,1.017578125,-2.319335938,0.671386719,-1.586914063,101421,,
50:21.3,4,,0.029296875,-0.022460938,0.975585938,-1.159667969,0.915527344,-1.403808594,101421,,
50:21.5,4,,0.038085938,-0.028320313,0.993164063,-1.953125,1.159667969,-1.037597656,101421,,
50:21.6,4,,0.01953125,-0.024414063,1.000976563,-3.41796875,1.037597656,-0.9765625,101421,,
50:21.8,4,,0.013671875,-0.014648438,0.984375,0.549316406,0.549316406,-0.610351563,101421,,
50:21.9,4,,0.010742188,-0.017578125,0.98828125,-0.9765625,0.793457031,-1.037597656,101421,,
50:22.1,4,,0.03125,-0.010742188,0.9765625,-1.586914063,0.915527344,-1.098632813,101421,,
50:22.2,4,,0.033203125,0,1.002929688,-2.9296875,0.48828125,-1.403808594,101421,,
50:22.3,4,,0.029296875,-0.026367188,0.995117188,-1.586914063,0.183105469,-1.647949219,101421,,
50:22.5,4,,0.03125,-0.014648438,1.0234375,-2.746582031,0.366210938,-0.9765625,101421,,
50:22.6,4,,0.030273438,-0.009765625,1.005859375,-2.197265625,0.793457031,-0.671386719,101421,,
50:22.8,4,,0.034179688,-0.008789063,0.983398438,-1.159667969,0.48828125,-0.9765625,101421,,
50:23.0,4,,0.002929688,0.002929688,0.981445313,-0.427246094,0.9765625,-1.037597656,101421,,
50:23.1,4,,0.025390625,-0.032226563,1.01171875,-0.610351563,0.427246094,-1.342773438,101421,,
50:23.3,4,,0.037109375,-0.018554688,0.994140625,-2.624511719,1.037597656,-0.9765625,101421,,
50:23.4,4,,0.015625,-0.033203125,1.002929688,-1.586914063,0.793457031,-0.854492188,101421,,
50:23.5,4,,0.041992188,0.0078125,1.000976563,-2.136230469,0.549316406,-1.037597656,101421,,
50:23.6,4,,0.017578125,-0.021484375,0.998046875,-0.427246094,0,-0.732421875,101421,,
50:23.8,4,,0.047851563,-0.0078125,1,-2.319335938,0.549316406,-1.525878906,101421,,
50:23.9,4,,0.028320313,-0.010742188,1.021484375,-0.061035156,0.793457031,-1.281738281,101421,,
50:24.0,4,,0.034179688,0.000976563,1.01171875,-3.662109375,0.854492188,-1.220703125,101421,,
50:24.1,4,,0.026367188,-0.0078125,1.006835938,0.305175781,0.732421875,-0.671386719,101421,,
50:24.2,4,,0.044921875,-0.005859375,0.982421875,1.220703125,0.793457031,-0.915527344,101421,,
50:24.4,4,,0.04296875,-0.013671875,0.99609375,-0.915527344,0.854492188,-1.098632813,101421,,
50:24.6,4,,0.028320313,-0.008789063,0.967773438,-3.41796875,0.732421875,-0.854492188,101421,,
50:24.7,4,,0.041015625,-0.020507813,1.005859375,-3.41796875,0.549316406,-1.46484375,101421,,
50:24.9,4,,0.025390625,-0.01953125,0.970703125,-1.647949219,0.610351563,-1.831054688,101421,,
50:25.0,4,,0.028320313,-0.01953125,1.001953125,-1.342773438,0.305175781,-0.732421875,101421,,
50:25.2,4,,0.0234375,-0.01171875,0.974609375,-0.610351563,0.549316406,-1.098632813,101421,,
50:25.3,4,,0.03125,0.002929688,1.001953125,0.48828125,0.610351563,-0.305175781,101421,,
50:25.4,4,,0.020507813,-0.012695313,1.002929688,-2.136230469,1.159667969,-1.098632813,101421,,
50:25.5,4,,-0.000976563,0.001953125,0.984375,-1.098632813,0.732421875,-0.671386719,101421,,
50:25.6,4,,0.03125,-0.026367188,0.98828125,-0.48828125,0.854492188,-1.159667969,101421,,
50:25.8,4,,0.0390625,-0.010742188,1.005859375,-1.220703125,0.610351563,-1.953125,101422,,
50:25.9,4,,0.02734375,-0.020507813,1.008789063,-0.48828125,0.9765625,-1.403808594,101422,,
50:26.1,4,,0.051757813,-0.020507813,1.028320313,-2.075195313,0.854492188,-1.281738281,101422,,
50:26.2,4,,0.0390625,-0.03125,1.009765625,-0.549316406,0.9765625,-1.159667969,101421,,
50:26.4,4,,0.0390625,-0.013671875,0.986328125,-1.953125,0.732421875,-1.403808594,101421,,
50:26.5,4,,0.024414063,0.002929688,0.991210938,-1.46484375,1.098632813,-1.46484375,101421,,
50:26.7,4,,-0.000976563,-0.013671875,0.977539063,-2.746582031,1.281738281,-0.915527344,101421,,
50:26.9,4,,0.049804688,-0.024414063,0.969726563,-1.46484375,0.854492188,-1.159667969,101421,,
50:27.1,4,,0.030273438,-0.010742188,0.998046875,-2.319335938,0.48828125,-1.708984375,101421,,
50:27.2,4,,-0.22265625,-0.310546875,0.911132813,-40.83251953,-70.37353516,0,101420,,
50:27.3,4,,-0.342773438,0.073242188,1.162109375,42.23632813,1.770019531,-2.685546875,101420,,
50:27.5,4,,-0.997070313,0.431640625,-1.41015625,140.5029297,-48.40087891,16.11328125,101420,,
50:27.6,4,,-0.494140625,0.395507813,0.407226563,-371.5209961,-0.427246094,-3.173828125,101420,,
50:27.7,5,,-0.481445313,0.50390625,2.834960938,508.6669922,-7.446289063,-10.07080078,101420,,
50:27.8,5,,0.392578125,-0.4375,1.676757813,-107.0556641,-4.211425781,20.99609375,101420,,
50:27.9,5,,-0.147460938,-0.12109375,0.568359375,84.9609375,-6.103515625,11.84082031,101420,,
50:28.0,5,,-0.053710938,-0.157226563,0.65234375,-300.6591797,-3.90625,0.671386719,101420,,
